Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2408.68881482248,1765.02219817503,5462.26089723183,5591.21235322404,5498.78409497823,5494.3523360423,4187.50972747204,3945.48208133854,4111.29411013269,4153.73397805915,3973.96407191565,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21854.2468030614,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,947.704182085371,556.836318086553,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3289.64666408633,2790.72661520665,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7348.23391713105,10871.0057141966,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16672.7442395764,17112.8211347326,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4333.48297312146,7708.10099605414,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.0418246696,11633.4980086465,9912.28180859803,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.854659491342,622.742139063498,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12307.3117378314,20620.7006259175,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751,28281.35048163,29007.6930034887,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18211.5000581403,21679.2478424147,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55060.3261005013,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24564.4582948404,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47426.5119597773,51478.2852619277,50137.6627762476,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324491677,655.097432602586,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4793.58701966989,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12356.4238963715,27097.6108115725,28006.3797183913,29485.6209294138,28783.5541223636,29980.0611386466,31295.0620781067,31562.6397411168,32718.6381008013,33767.5033710196,34863.7420984795,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.98333446095,13636.3962320368,22514.2379458146,23654.3513912828,24744.296958551,24989.4001204704,22634.118645445,22608.484275925,23742.9850166355,23991.05667694,23503.977126673,..
